order_id,Date,Item Name,Category,Price,Quantity,Amount Transacted (?),Transaction Type,Gender,Time of Sale,Festival Name
1,07-01-2023,Veg Pulao,Fastfood,12,1,12,Cash,Female,Afternoon,None
2,23-01-2023,Paneer Butter Masala,Fastfood,62,3,186,Online,Male,Afternoon,None
3,08-01-2023,Rajma Chawal,Fastfood,223,2,446,Cash,Male,Afternoon,None
4,29-01-2023,Upma,Fastfood,299,2,598,Online,Male,Morning,None
5,06-01-2023,Chapati,Fastfood,36,1,36,Cash,Male,Afternoon,None
6,30-01-2023,Dhokla,Fastfood,135,3,405,Online,Female,Evening,None
7,02-01-2023,Chai,Beverage,53,1,53,Cash,Male,Morning,None
8,07-01-2023,Dhokla,Fastfood,135,2,270,Cash,Male,Evening,None
9,21-01-2023,Aloo Puri,Fastfood,221,3,663,Cash,Female,Morning,None
10,18-01-2023,Dal Tadka,Fastfood,240,5,1200,Cash,Male,Afternoon,None
11,02-01-2023,Biryani,Fastfood,68,1,68,Cash,Female,Afternoon,None
12,26-01-2023,Gulab Jamun,Fastfood,36,2,72,Cash,Female,Morning,Republic Day
13,13-01-2023,Biryani,Fastfood,68,2,136,Online,Female,Afternoon,None
14,11-01-2023,Fried Rice,Fastfood,281,2,562,Cash,Female,Night,None
15,13-01-2023,Chai,Beverage,53,5,265,Cash,Female,Morning,None
16,16-01-2023,Aloo Puri,Fastfood,221,4,884,Online,Female,Morning,None
17,06-01-2023,Dal Tadka,Fastfood,240,5,1200,Cash,Female,Afternoon,None
18,17-01-2023,Butter Chicken,Fastfood,247,5,1235,Cash,Male,Night,None
19,17-01-2023,Chapati,Fastfood,36,5,180,Online,Male,Afternoon,None
20,05-01-2023,Biryani,Fastfood,68,2,136,Online,Female,Afternoon,None
21,11-01-2023,Idli,Fastfood,20,4,80,Online,Male,Morning,None
22,29-01-2023,Veg Pulao,Fastfood,12,4,48,Online,Female,Afternoon,None
23,20-01-2023,Paratha,Fastfood,176,3,528,Cash,Male,Morning,None
24,28-01-2023,Paratha,Fastfood,176,4,704,Cash,Female,Morning,None
25,08-01-2023,Chapati,Fastfood,36,3,108,Online,Male,Afternoon,None
26,19-01-2023,Rajma Chawal,Fastfood,223,2,446,Online,Male,Afternoon,None
27,17-01-2023,Biryani,Fastfood,68,5,340,Cash,Male,Afternoon,None
28,18-01-2023,Chai,Beverage,53,1,53,Online,Female,Evening,None
29,22-01-2023,Poha,Fastfood,121,4,484,Online,Female,Morning,None
30,10-01-2023,Aloo Puri,Fastfood,221,1,221,Online,Female,Morning,None
31,17-01-2023,Upma,Fastfood,299,4,1196,Online,Female,Morning,None
32,23-01-2023,Dal Tadka,Fastfood,240,3,720,Online,Female,Afternoon,None
33,18-01-2023,Naan,Fastfood,115,4,460,Cash,Male,Night,None
34,26-01-2023,Jalebi,Fastfood,186,2,372,Online,Female,Evening,Republic Day
35,16-01-2023,Naan,Fastfood,115,1,115,Cash,Male,Night,None
36,20-01-2023,Butter Chicken,Fastfood,247,4,988,Cash,Male,Night,None
37,28-01-2023,Masala Dosa,Fastfood,205,1,205,Cash,Male,Night,None
